nombre,lat,lon,riesgo
CENTRO PREESCOLAR EDUCATIVO  PADRE LUIS ANTONIO ORMIERES,9.7328,-63.205,1
CENTRO PREESCOLAR EDUCATIVO AÑO INTERNACIONAL DEL NIÑO NUCLEO OLGA DE BRUGUERA,9.90193,-67.3756,1
CENTRO PREESCOLAR MADRE TERESA DE CALCUTA,10.067,-69.3487,1
CENTRO PRESCOLAR MARACAIBO,10.6529,-71.6812,1
CENTRO UNIFICADO ANZOATEGUI,9.9141,-68.3099,1
CENTRO VENEZOLANO AMERICANO,10.4859,-66.8657,1
CENTROS DE ESTUDIOS CECILIO ACOSTA,10.4808,-66.8207,1
CICLO  DIVERSIFICADO DANIEL FLORENCIO  OLEARY,8.63013,-70.2103,1
CICLO BASICO ANIBAL ROJAS PEREZ,9.06319,-62.0548,1
CICLO BASICO CARACCIOLO PARRA OLMEDO,8.56003,-71.1968,1
CICLO BASICO CARLOS GAUNA,10.3593,-67.0061,1
CICLO BASICO COMBINADO DOCTOR FELIX SATURNINO ARISA,9.036,-69.7687,1
CICLO BASICO COMUN JULIO ROSALES,10.346,-67.0411,1
CICLO BASICO CONCENTRADO RAFAEL MONASTERIOS,10.0608,-69.3272,1
CICLO BASICO EZEQUIEL BUJANDA,10.0534,-69.3397,1
CICLO BASICO FEDERICO CARMONA,10.0718,-69.2973,1
CICLO BASICO FELIX GONZALEZ LAMEDA,10.0659,-69.3044,1
