codigo_centro,cod_estado,estado,nombre_centro,electores,rank_por_tamano,residual_2006,residual_2012,n_hist,recent_distance,historical_mae,historical_rmse,historical_bias,abs_historical_bias,historical_volatility,selector,cohort,score,pasada,tolerancia_de_entrada,metodo,target,residual_2013,residual_2018
181301007,18,Tachira,ESCUELA BOLIVARIANA PRESBITERO DOCTOR JOSE AMANDO PEREZ ARELLANO,3687.0,32,4.446924,-0.976213,2,0.976213,2.711568,3.219327,1.735356,1.735356,2.711568,recent_distance,common,0.976213,1,2,longitudinal,2013,,
190706001,19,Trujillo,UNIDAD EDUCATIVA ESTADAL ROMULO GALLEGOS,3330.0,10,6.548958,0.257517,2,0.257517,3.403237,4.634391,3.403237,3.403237,3.14572,recent_distance,common,0.257517,1,2,longitudinal,2013,,
191403002,19,Trujillo,COLEGIO MARISCAL ANTONIO JOSÉ DE SUCRE,3122.0,22,4.473039,0.645423,2,0.645423,2.559231,3.195673,2.559231,2.559231,1.913808,recent_distance,common,0.645423,1,2,longitudinal,2013,,
190202005,19,Trujillo,ESCUELA BOLIVARIANA PRESBÍTERO JOSÉ DE JESÚS ESPINOZA,2975.0,27,3.458131,1.19704,2,1.19704,2.327586,2.587622,2.327586,2.327586,1.130546,recent_distance,common,1.19704,1,2,longitudinal,2013,,
191501002,19,Trujillo,UNIDAD BÁSICA PASCUAL IGNACIO VILLASMIL,2950.0,30,-1.538274,0.730906,2,0.730906,1.13459,1.204265,-0.403684,0.403684,1.13459,recent_distance,common,0.730906,1,2,longitudinal,2013,,
200401020,20,Yaracuy,ESCUELA BASICA CARMEN DE RAMIREZ,3214.0,4,2.514258,-0.090833,2,0.090833,1.302545,1.779009,1.211712,1.211712,1.302545,recent_distance,common,0.090833,1,2,longitudinal,2013,,
201201001,20,Yaracuy,ESCUELA BASICA LUISA DE MORALES,1911.0,52,5.108589,-0.909924,2,0.909924,3.009256,3.669172,2.099333,2.099333,3.009256,recent_distance,common,0.909924,1,2,longitudinal,2013,,
200301007,20,Yaracuy,LICEO BOLIVARIANO HERIBERTO NUÑEZ OLIVEROS,1835.0,58,4.996406,-0.188329,2,0.188329,2.592367,3.535502,2.404039,2.404039,2.592367,recent_distance,common,0.188329,1,2,longitudinal,2013,,
210513012,21,Zulia,UNIDAD EDUCATIVA NACIONAL FE Y ALEGRIA LA CHINITA,9954.0,1,7.437708,-0.783997,2,0.783997,4.110853,5.288391,3.326855,3.326855,4.110853,recent_distance,common,0.783997,1,2,longitudinal,2013,,
210514007,21,Zulia,ESCUELA BASICA ESTADAL PROFESOR CONSUELO NAVAS TOVAR,6417.0,19,3.41911,-0.895244,2,0.895244,2.157177,2.499177,1.261933,1.261933,2.157177,recent_distance,common,0.895244,1,2,longitudinal,2013,,
211805009,21,Zulia,UNIDAD  EDUCATIVA  ARQUIDIOCESANA MADRE LAURA,6171.0,22,7.766285,0.229104,2,0.229104,3.997694,5.493982,3.997694,3.997694,3.768591,recent_distance,common,0.229104,1,2,longitudinal,2013,,
210514013,21,Zulia,ESCUELA  BASICA 15 DE ENERO,6016.0,25,4.08253,-1.876864,2,1.876864,2.979697,3.177237,1.102833,1.102833,2.979697,recent_distance,common,1.876864,1,2,longitudinal,2013,,
210904001,21,Zulia,ESCUELA BASICA ESTADAL DON MARIO BRICEÑO IRAGORRY,5381.0,38,9.98828,1.466045,2,1.466045,5.727163,7.138453,5.727163,5.727163,4.261118,recent_distance,common,1.466045,1,2,longitudinal,2013,,
211102016,21,Zulia,ESCUELA NACIONAL LOS SAMANES,5187.0,43,-3.452891,1.809457,2,1.809457,2.631174,2.756501,-0.821717,0.821717,2.631174,recent_distance,common,1.809457,1,2,longitudinal,2013,,
210401001,21,Zulia,UNIDAD EDUCATIVA ESTADAL MONSEÑOR ALVAREZ,4892.0,61,8.93258,0.110141,2,0.110141,4.521361,6.316768,4.521361,4.521361,4.411219,recent_distance,common,0.110141,1,2,longitudinal,2013,,
210503002,21,Zulia,ESCUELA BASICA NACIONAL DR FRANCISCO OCHOA,4881.0,64,6.958601,-1.953106,2,1.953106,4.455854,5.110614,2.502747,2.502747,4.455854,recent_distance,common,1.953106,1,2,longitudinal,2013,,
211303002,21,Zulia,LICEO NACIONAL BOLIVARIANO JULIO CESAR SALAS,4795.0,70,9.28064,1.829336,2,1.829336,5.554988,6.688675,5.554988,5.554988,3.725652,recent_distance,common,1.829336,1,2,longitudinal,2013,,
211902002,21,Zulia,UNIDAD EDUCATIVA ESTADAL GENERAL RAFAEL URDANETA,4764.0,71,-1.185076,0.886448,2,0.886448,1.035762,1.046469,-0.149314,0.149314,1.035762,recent_distance,common,0.886448,1,2,longitudinal,2013,,
