codigo_centro,cod_estado,nombre_centro,estado,electores,mesas,rank_por_tamano,hist_pct_maduro_centro,hist_pct_maduro_estado,hist_diff_abs_pp,pasada,tolerancia_de_entrada,metodo,transicion
050401006,05,LICEO BOLIVARIANO ELIAS ARAQUE MULLER,Barinas,4134,3,7,59.650219,59.604485,0.045733,1,2,legacy,2018_2024
050401005,05,UNIDAD EDUCATIVA PRIVADO COLEGIO CORAZON DE MARIA,Barinas,4080,5,8,59.462999,59.604485,0.141486,1,2,legacy,2018_2024
050603001,05,UNIDAD EDUCATIVA SAN RAFAEL DE CANAGUA,Barinas,3684,4,19,59.127625,59.604485,0.47686,1,2,legacy,2018_2024
050601001,05,ESCUELA BASICA JOSE FRANCISCO JIMENEZ,Barinas,3624,4,25,60.034752,59.604485,0.430267,1,2,legacy,2018_2024
060108014,06,UNIDAD EDUCATIVA AUYANTEPUY,Bolivar,6314,7,6,58.749438,59.815233,1.065795,1,2,legacy,2018_2024
060103002,06,ESCUELA BASICA FE Y ALEGRIA NUEVA GUAYANA,Bolivar,5952,6,9,58.31899,59.815233,1.496243,1,2,legacy,2018_2024
060401003,06,ESCUELA BASICA NACIONAL ISAURA GOMEZ DE AYALA,Bolivar,5082,6,11,58.870968,59.815233,0.944265,1,2,legacy,2018_2024
060108015,06,ESCUELA TECNICA COMERCIAL ANDRES BELLO,Bolivar,5070,6,12,58.263971,59.815233,1.551261,1,2,legacy,2018_2024
060105010,06,ESCUELA NACIONAL BASICA NUEVO MUNDO,Bolivar,4552,4,22,58.320951,59.815233,1.494282,1,2,legacy,2018_2024
070904028,07,UNIDAD ESCOLAR NEGRO PRIMERO,Carabobo,6237,7,15,65.125,65.555724,0.430724,1,2,legacy,2018_2024
070401001,07,UNIDAD EDUCATIVA  NACIONAL   LUIS AUGUSTO MACHADO CISNEROS,Carabobo,6139,7,17,65.086531,65.555724,0.469193,1,2,legacy,2018_2024
070401016,07,UNIDAD EDUCATIVA NACIONAL EL TOQUITO,Carabobo,6027,7,19,66.586731,65.555724,1.031006,1,2,legacy,2018_2024
070904018,07,ESCUELA BASICA ESTADAL RAUL VILLARROEL,Carabobo,5934,6,21,64.378801,65.555724,1.176923,1,2,legacy,2018_2024
070908036,07,PRE  ESCOLAR MUNICIPAL LAS PALMITAS,Carabobo,5736,6,28,65.324725,65.555724,0.231,1,2,legacy,2018_2024
071301001,07,GRUPO ESCOLAR QUEIPA,Carabobo,5532,6,34,67.483871,65.555724,1.928147,1,2,legacy,2018_2024
070401002,07,UNIDAD EDUACTIVA   NACIONAL JOSE GREGORIO GUITIAN E,Carabobo,5256,6,41,63.886572,65.555724,1.669152,1,2,legacy,2018_2024
080201002,08,ESCUELA  BASICA JESUS MARTIN LEON,Cojedes,3636,4,1,67.40067,66.92687,0.4738,1,2,legacy,2018_2024
080201017,08,ESCUELA BASICA  EDUARDO NOGUERA,Cojedes,3237,3,6,66.732969,66.92687,0.193902,1,2,legacy,2018_2024
080901002,08,ESCUELA  BASICA  JUAN ANGEL BRAVO,Cojedes,2574,3,11,65.765766,66.92687,1.161105,1,2,legacy,2018_2024
090402004,09,ESCUELA BÁSICA VICTOR LINO GÓMEZ,Falcon,4910,5,2,57.544619,59.221804,1.677185,1,2,legacy,2018_2024
091602002,09,ESCUELA BÁSICA BOLIVARIANA CREOLANDIA,Falcon,4190,5,7,59.236453,59.221804,0.01465,1,2,legacy,2018_2024
090403009,09,LICEO BOLIVARIANO ALEJANDRO PETION,Falcon,4070,5,10,58.066362,59.221804,1.155442,1,2,legacy,2018_2024
090403020,09,ESCUELA BASICA BOLIVARIANA ANDRES BELLO,Falcon,4005,5,11,59.302949,59.221804,0.081145,1,2,legacy,2018_2024
091001007,09,ESCUELA BÁSICA LUCAS ADAMES,Falcon,3928,4,13,57.680412,59.221804,1.541391,1,2,legacy,2018_2024
100101010,10,UNIDAD EDUCATIVA LOURDES CAMERO RAMIREZ,Guarico,4185,5,9,75.082742,73.397625,1.685117,1,2,legacy,2018_2024
100301031,10,UNIDAD EDUCATIVA JOSE FELIX RIBAS,Guarico,3916,4,16,75.148869,73.397625,1.751243,1,2,legacy,2018_2024
101101001,10,ESCUELA BASICA CARLOS IRAZABAL PEREZ,Guarico,3536,4,26,71.632124,73.397625,1.765501,1,2,legacy,2018_2024
100701004,10,ESCUELA ESTADAL DELFINA FEMAYOR DE MOLINA,Guarico,3471,3,28,71.813953,73.397625,1.583672,1,2,legacy,2018_2024
