transicion,metodo,tolerance_ladder,min_electores,cod_estado,estado,cuota,n_frame,n_con_historico_frame,n_con_outcome_frame,n_seleccionados,n_con_outcome,pct_cobertura_muestra,pct_cobertura_frame_outcome,pct_maduro_estado_hist,pct_maduro_muestra_hist,error_hist_pp,pct_maduro_muestra_hist_comparable,pct_maduro_estado_outcome,pct_maduro_muestra_outcome,error_outcome_pp,swing_estado,swing_muestra,swing_error_pp,electores_estado,target,selector,cohort,n_difiere_otras_features
2013,longitudinal,baseline,300,07,Carabobo,8,658,658,658,8,8,100.0,100.0,54.506635,35.595814,-18.910821,35.595814,50.513511,33.246582,-17.266929,-3.993125,-2.349232,1.643892,1516239.0,2013,historical_volatility,common,8
2013,longitudinal,baseline,300,08,Cojedes,2,248,248,248,2,2,100.0,100.0,65.315293,72.918691,7.603399,72.918691,61.165345,68.921121,7.755776,-4.149947,-3.99757,0.152377,223028.0,2013,historical_volatility,common,2
2013,longitudinal,baseline,300,09,Falcon,4,691,691,691,4,4,100.0,100.0,59.876416,56.645395,-3.231021,56.645395,53.03365,49.024961,-4.008689,-6.842766,-7.620434,-0.777668,634614.0,2013,historical_volatility,common,4
2013,longitudinal,baseline,300,10,Guarico,4,431,422,431,4,4,100.0,100.0,64.171017,57.440955,-6.730062,57.440955,59.289042,53.753072,-5.535969,-4.881976,-3.687883,1.194093,500154.0,2013,historical_volatility,common,3
2013,longitudinal,baseline,300,11,Lara,7,990,990,990,7,7,100.0,100.0,51.456205,41.71709,-9.739114,41.71709,47.719486,38.651753,-9.067733,-3.736719,-3.065338,0.671381,1197690.0,2013,historical_volatility,common,7
2013,longitudinal,baseline,300,12,Merida,4,514,514,514,4,4,100.0,100.0,48.454019,50.509724,2.055705,50.509724,42.885591,43.104982,0.219391,-5.568428,-7.404742,-1.836314,576870.0,2013,historical_volatility,common,3
2013,longitudinal,baseline,300,13,Miranda,10,1040,1038,1040,10,10,100.0,100.0,49.98078,18.984521,-30.996259,18.984521,47.296963,17.906801,-29.390162,-2.683818,-1.077721,1.606097,1950657.0,2013,historical_volatility,common,10
2013,longitudinal,baseline,300,14,Monagas,4,469,467,469,4,4,100.0,100.0,58.324918,65.724947,7.400029,65.724947,55.464436,61.250922,5.786486,-2.860482,-4.474024,-1.613542,594585.0,2013,historical_volatility,common,4
2013,longitudinal,baseline,300,15,Nueva Esparta,3,230,230,230,3,3,100.0,100.0,51.022947,46.985169,-4.037778,46.985169,46.909744,44.275329,-2.634414,-4.113204,-2.70984,1.403364,329544.0,2013,historical_volatility,common,3
2013,longitudinal,baseline,300,16,Portuguesa,4,621,620,621,4,4,100.0,100.0,71.143621,77.850412,6.70679,77.850412,65.453833,72.199344,6.745512,-5.689788,-5.651067,0.038721,577589.0,2013,historical_volatility,common,3
2013,longitudinal,baseline,300,17,Sucre,4,646,646,646,4,4,100.0,100.0,60.234865,63.787375,3.552511,63.787375,57.483592,60.221598,2.738006,-2.751273,-3.565777,-0.814504,627075.0,2013,historical_volatility,common,3
